n,k,Iterations,Time,Mean,Std
0,,1,,,0.14581100940704345,0.017886594850949854
1,,2,,,0.3716850519180298,0.06843936840831157
2,,3,,,0.48365843296051025,0.06257056541569388
3,,4,,,0.7148422718048095,0.05239377571619704
4,,5,,,0.8142473936080933,0.04754447654727752
5,,6,,,0.8940267086029052,0.072229891793153
6,,7,,,1.0109798908233643,0.08445543958275113
7,,8,,,1.2548948764801025,0.06541085611431117
8,,9,,,1.2915416479110717,0.11797666589225757
9,,10,,,1.395794653892517,0.08013606749061762
10,,11,,,1.6305137395858764,0.08122532326602844
11,,12,,,1.6271767616271973,0.08126711085731113
12,,13,,,1.723759698867798,0.12752238311665368
13,,14,,,1.887657928466797,0.09113302438072966
14,,15,,,2.1226216316223145,0.0937809367781289
15,,16,,,2.4903500080108643,0.10948931187898692
16,,17,,,2.492648482322693,0.1441107676515241
17,,18,,,2.8427016019821165,0.25502511075777856
18,,19,,,3.205035424232483,0.23870026355300022
19,,20,,,3.0359984397888184,0.14575201578962654
